QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,ACT,318,Isabella Plains,757,51.22,721,48.78,1478,98.86,17,1.14,1495
1,ACT,102,Jervis Bay,23,82.14,5,17.86,28,100,0,0,28
1,ACT,101,Kaleen,886,64.86,480,35.14,1366,99.42,8,0.58,1374
1,ACT,101,Kaleen South,887,69.9,382,30.1,1269,99.3,9,0.7,1278
1,ACT,318,Kambah North,834,60.61,542,39.39,1376,98.78,17,1.22,1393
1,ACT,318,Kambah South,942,61.77,583,38.23,1525,99.22,12,0.78,1537
1,ACT,318,Kambah West,1080,59.54,734,40.46,1814,98.75,23,1.25,1837
1,ACT,102,Latham,809,61.99,496,38.01,1305,98.71,17,1.29,1322
1,ACT,101,Lyneham,1697,79.56,436,20.44,2133,99.26,16,0.74,2149
1,ACT,101,Lyneham East,601,78.98,160,21.02,761,99.09,7,0.91,768
1,ACT,318,Lyons (Bean),436,70.32,184,29.68,620,99.52,3,0.48,623
1,ACT,101,Lyons (Canberra),522,69.23,232,30.77,754,98.82,9,1.18,763
1,ACT,102,Macgregor,1203,64.3,668,35.7,1871,99.15,16,0.85,1887
1,ACT,101,Macquarie (Canberra),873,74.68,296,25.32,1169,99.32,8,0.68,1177
1,ACT,102,Macquarie (Fenner),170,65.89,88,34.11,258,98.1,5,1.9,263
1,ACT,318,Mawson,1174,69.22,522,30.78,1696,99.07,16,0.93,1712
1,ACT,102,Melba,1207,69.49,530,30.51,1737,98.92,19,1.08,1756
1,ACT,318,Monash,831,56.3,645,43.7,1476,98.99,15,1.01,1491
1,ACT,101,Narrabundah,602,62.38,363,37.62,965,99.18,8,0.82,973
1,ACT,101,Narrabundah South,639,73.79,227,26.21,866,99.2,7,0.8,873
1,ACT,102,Ngunnawal,1349,62.74,801,37.26,2150,99.03,21,0.97,2171
1,ACT,102,Nicholls,1029,57.36,765,42.64,1794,98.9,20,1.1,1814
1,ACT,102,Nicholls North,731,58.76,513,41.24,1244,98.81,15,1.19,1259
1,ACT,318,Norfolk Island,166,56.66,127,43.34,293,95.13,15,4.87,308
1,ACT,318,Norfolk Island PPVC,265,50.86,256,49.14,521,99.24,4,0.76,525
1,ACT,101,Oaks Estate,91,59.48,62,40.52,153,98.71,2,1.29,155
1,ACT,102,Other Mobile Team 1,54,90,6,10,60,100,0,0,60
1,ACT,318,Other Mobile Team 1,5,55.56,4,44.44,9,100,0,0,9
1,ACT,318,Other Mobile Team 2,5,83.33,1,16.67,6,100,0,0,6
1,ACT,101,Page (Canberra),239,71.34,96,28.66,335,99.11,3,0.89,338
1,ACT,102,Page (Fenner),574,65.38,304,34.62,878,99.21,7,0.79,885
1,ACT,102,Palmerston,1388,64.11,777,35.89,2165,99.04,21,0.96,2186
1,ACT,318,Parkes (Bean),409,82.29,88,17.71,497,99.6,2,0.4,499
1,ACT,101,Parkes (Canberra),2028,82.34,435,17.66,2463,99.52,12,0.48,2475
1,ACT,102,Parkes (Fenner),232,75.82,74,24.18,306,100,0,0,306
