QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,326,Bacchus Marsh,471,44.14,596,55.86,1067,98.7,14,1.3,1081
1,VIC,326,Bacchus Marsh PPVC,2751,32.1,5818,67.9,8569,99.09,79,0.91,8648
1,VIC,204,Badger Creek,423,49.42,433,50.58,856,98.96,9,1.04,865
1,VIC,213,Bairnsdale,316,37.26,532,62.74,848,99.07,8,0.93,856
1,VIC,213,Bairnsdale PPVC,3443,24.84,10418,75.16,13861,99.26,103,0.74,13964
1,VIC,213,Bairnsdale West,389,35.49,707,64.51,1096,98.83,13,1.17,1109
1,VIC,322,Balaclava,942,76.34,292,23.66,1234,98.96,13,1.04,1247
1,VIC,326,Ballan,498,38.49,796,61.51,1294,98.7,17,1.3,1311
1,VIC,198,Ballarat,772,62.76,458,37.24,1230,98.56,18,1.44,1248
1,VIC,198,Ballarat BALLARAT PPVC,10690,35.93,19061,64.07,29751,99.09,273,0.91,30024
1,VIC,198,Ballarat East,661,60.53,431,39.47,1092,98.64,15,1.36,1107
1,VIC,198,Ballarat North,856,55.01,700,44.99,1556,99.17,13,0.83,1569
1,VIC,233,Ballarat WANNON PPVC,190,29.1,463,70.9,653,98.94,7,1.06,660
1,VIC,233,Balmoral,54,29.51,129,70.49,183,99.46,1,0.54,184
1,VIC,211,Balnarring,624,65.55,328,34.45,952,99.27,7,0.73,959
1,VIC,221,Balwyn,900,54.38,755,45.62,1655,99.16,14,0.84,1669
1,VIC,221,Balwyn North,1192,51.85,1107,48.15,2299,99.14,20,0.86,2319
1,VIC,221,Balwyn North Central,921,54.14,780,45.86,1701,99.24,13,0.76,1714
1,VIC,324,Bamawm,19,10.56,161,89.44,180,100,0,0,180
1,VIC,328,Bannockburn,558,34.62,1054,65.38,1612,98.96,17,1.04,1629
1,VIC,328,Bannockburn North,273,34.43,520,65.57,793,99.25,6,0.75,799
1,VIC,218,Baranduda,339,40.07,507,59.93,846,99.41,5,0.59,851
1,VIC,218,Barnawartha,131,27.46,346,72.54,477,99.17,4,0.83,481
1,VIC,328,Barwon CORANGAMITE PPVC,2408,39.14,3745,60.86,6153,98.97,64,1.03,6217
1,VIC,208,Barwon CORIO PPVC,9790,46.95,11062,53.05,20852,99.18,173,0.82,21025
1,VIC,328,Barwon Heads,884,66.02,455,33.98,1339,99.26,10,0.74,1349
1,VIC,233,Barwon WANNON PPVC,190,49.48,194,50.52,384,98.71,5,1.29,389
1,VIC,323,Bass,89,27.47,235,72.53,324,99.39,2,0.61,326
1,VIC,210,Baxter (Dunkley),195,33.91,380,66.09,575,98.97,6,1.03,581
1,VIC,211,Baxter (Flinders),326,41.96,451,58.04,777,98.85,9,1.15,786
1,VIC,223,Bayles,147,25,441,75,588,99.66,2,0.34,590
1,VIC,197,Bayswater,1018,50.55,996,49.45,2014,99.07,19,0.93,2033
1,VIC,209,Bayswater North,774,42.23,1059,57.77,1833,99.46,10,0.54,1843
1,VIC,197,Bayswater South,339,50.67,330,49.33,669,99.11,6,0.89,675
1,VIC,197,Bayswater West,558,45.15,678,54.85,1236,97.86,27,2.14,1263
1,VIC,328,Beacon Point,435,49.54,443,50.46,878,98.32,15,1.68,893
1,VIC,223,Beaconsfield,678,41.12,971,58.88,1649,98.57,24,1.43,1673
1,VIC,223,Beaconsfield Upper,419,39.2,650,60.8,1069,99.63,4,0.37,1073
1,VIC,224,Bealiba,27,20.77,103,79.23,130,99.24,1,0.76,131
