QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,QLD,311,Bajool,15,8.98,152,91.02,167,100,0,0,167
1,QLD,157,Bakers Creek,97,19.52,400,80.48,497,99.4,3,0.6,500
1,QLD,175,Bald Hills,703,40.75,1022,59.25,1725,98.74,22,1.26,1747
1,QLD,170,Ballandean,51,25.37,150,74.63,201,100,0,0,201
1,QLD,163,Balmoral,770,57.98,558,42.02,1328,99.18,11,0.82,1339
1,QLD,168,Bamaga,263,60.05,175,39.95,438,99.32,3,0.68,441
1,QLD,311,Banana,17,10.83,140,89.17,157,100,0,0,157
1,QLD,302,Banksia Beach,365,28.45,918,71.55,1283,98.77,16,1.23,1299
1,QLD,169,Banyo East,1097,49.35,1126,50.65,2223,99.06,21,0.94,2244
1,QLD,311,Baralaba,17,8.54,182,91.46,199,100,0,0,199
1,QLD,170,Barcaldine,122,19.71,497,80.29,619,99.68,2,0.32,621
1,QLD,177,Bardon,671,63.54,385,36.46,1056,99.44,6,0.56,1062
1,QLD,166,Bargara,369,29.29,891,70.71,1260,98.9,14,1.1,1274
1,QLD,166,Bargara PPVC,1112,19.04,4729,80.96,5841,99.3,41,0.7,5882
1,QLD,166,Bargara South,269,28.32,681,71.68,950,98.96,10,1.04,960
1,QLD,161,Baringa,807,37.26,1359,62.74,2166,98.63,30,1.37,2196
1,QLD,178,Bauple,101,22.39,350,77.61,451,99.34,3,0.66,454
1,QLD,155,Bay View Thornlands,633,33.74,1243,66.26,1876,99.21,15,0.79,1891
1,QLD,168,Bayview Heights,234,30.12,543,69.88,777,98.23,14,1.77,791
1,QLD,302,Beachmere,399,24.92,1202,75.08,1601,98.83,19,1.17,1620
1,QLD,158,Beaconsfield,303,24.09,955,75.91,1258,99.29,9,0.71,1267
1,QLD,316,Beaudesert,192,20.43,748,79.57,940,99.26,7,0.74,947
1,QLD,316,Beaudesert East,258,26.52,715,73.48,973,98.88,11,1.12,984
1,QLD,316,Beaudesert PPVC,982,17.98,4481,82.02,5463,99.29,39,0.71,5502
1,QLD,316,Beechmont,257,47.42,285,52.58,542,98.01,11,1.99,553
1,QLD,162,Beenleigh,630,33.56,1247,66.44,1877,98.79,23,1.21,1900
1,QLD,159,Beenleigh FADDEN PPVC,139,21.75,500,78.25,639,99.53,3,0.47,642
1,QLD,162,Beenleigh FORDE PPVC,3167,24.31,9860,75.69,13027,99.11,117,0.89,13144
1,QLD,162,Beenleigh Voting Day PPVC,0,0,0,0,0,0,0,0, -   
1,QLD,316,Beenleigh WRIGHT PPVC,170,21.36,626,78.64,796,99.5,4,0.5,800
1,QLD,161,Beerburrum,64,22.54,220,77.46,284,99.3,2,0.7,286
1,QLD,161,Beerwah,442,25.7,1278,74.3,1720,98.57,25,1.43,1745
1,QLD,161,Beerwah PPVC,1636,24.26,5108,75.74,6744,99.06,64,0.94,6808
1,QLD,165,Belgian Gardens,479,43.59,620,56.41,1099,99.1,10,0.9,1109
1,QLD,170,Bell,26,9,263,91,289,99.66,1,0.34,290
1,QLD,302,Bellara,222,29.21,538,70.79,760,98.7,10,1.3,770
1,QLD,174,Bellbird Park,650,43.92,830,56.08,1480,98.67,20,1.33,1500
1,QLD,177,Bellbowrie,512,47.02,577,52.98,1089,99.63,4,0.37,1093
1,QLD,304,Bellbowrie BLAIR PPVC,254,37.97,415,62.03,669,99.11,6,0.89,675
1,QLD,177,Bellbowrie RYAN PPVC,1909,37.36,3201,62.64,5110,99.63,19,0.37,5129
1,QLD,172,Bellevue Park,478,39.5,732,60.5,1210,99.18,10,0.82,1220
1,QLD,302,Bellmere,354,29.92,829,70.08,1183,98.34,20,1.66,1203
1,QLD,310,Belmont,1030,44.24,1298,55.76,2328,99.19,19,0.81,2347
1,QLD,310,Belmont East,161,41.71,225,58.29,386,100,0,0,386
1,QLD,311,Benaraby,58,14.32,347,85.68,405,99.51,2,0.49,407
1,QLD,172,Benowa,779,33.38,1555,66.62,2334,98.61,33,1.39,2367
1,QLD,167,Bentley Park (Kennedy),267,27.13,717,72.87,984,98.11,19,1.89,1003
1,QLD,168,Bentley Park (Leichhardt),150,34.72,282,65.28,432,98.63,6,1.37,438
1,QLD,176,Berrinba East,560,38.78,884,61.22,1444,98.57,21,1.43,1465
1,QLD,157,Berserker,294,23.94,934,76.06,1228,98.95,13,1.05,1241
1,QLD,162,Bethania,656,32.69,1351,67.31,2007,98.24,36,1.76,2043
1,QLD,167,Biboohra,11,10.38,95,89.62,106,97.25,3,2.75,109
1,QLD,164,Biddeston,29,12.34,206,87.66,235,99.16,2,0.84,237
1,QLD,311,Biggenden,94,15.16,526,84.84,620,99.52,3,0.48,623
1,QLD,159,Biggera Waters,397,34.58,751,65.42,1148,97.95,24,2.05,1172
1,QLD,311,Biloela,134,18.21,602,81.79,736,98.79,9,1.21,745
1,QLD,311,Biloela PPVC,368,10.65,3087,89.35,3455,99.63,13,0.37,3468
1,QLD,155,Birkdale,815,35.42,1486,64.58,2301,99.44,13,0.56,2314
1,QLD,310,Birkdale BONNER PPVC,135,24.46,417,75.54,552,99.46,3,0.54,555
1,QLD,155,Birkdale BOWMAN PPVC,2584,24.93,7779,75.07,10363,99.16,88,0.84,10451
1,QLD,155,Birkdale South,586,32.5,1217,67.5,1803,98.96,19,1.04,1822
1,QLD,170,Blackall,90,14.4,535,85.6,625,99.52,3,0.48,628
1,QLD,170,Blackbutt,184,18.57,807,81.43,991,99,10,1,1001
1,QLD,311,Blackwater,136,17.17,656,82.83,792,99.25,6,0.75,798
1,QLD,311,Blackwater PPVC,130,10.07,1161,89.93,1291,99.69,4,0.31,1295
1,QLD,316,Blenheim,57,15.79,304,84.21,361,99.72,1,0.28,362
1,QLD,160,Bli Bli,697,34.82,1305,65.18,2002,98.57,29,1.43,2031
1,QLD,160,Bli Bli North,133,36.24,234,63.76,367,99.19,3,0.81,370
1,QLD,168,Bloomfield,139,66.51,70,33.49,209,99.52,1,0.48,210
1,QLD,158,Bloomsbury,46,13.61,292,86.39,338,99.41,2,0.59,340
1,QLD,165,Bluewater,181,16.34,927,83.66,1108,99.37,7,0.63,1115
1,QLD,311,Bluff,15,11.36,117,88.64,132,99.25,1,0.75,133
1,QLD,161,Bokarina,446,40.55,654,59.45,1100,98.57,16,1.43,1116
1,QLD,170,Bollon,6,7.14,78,92.86,84,100,0,0,84
