2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:49 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,NSW,251,Ashfield East (Watson),200,67.57,96,32.43,296,98.67,4,1.33,300
1,NSW,121,Ashfield GRAYNDLER PPVC,3658,61.94,2248,38.06,5906,98.78,73,1.22,5979
1,NSW,121,Ashfield North (Grayndler),635,72.41,242,27.59,877,99.21,7,0.79,884
1,NSW,144,Ashfield North (Reid),128,66.32,65,33.68,193,98.47,3,1.53,196
1,NSW,144,Ashfield REID PPVC,1998,43.99,2544,56.01,4542,99,46,1,4588
1,NSW,121,Ashfield South (Grayndler),529,80.4,129,19.6,658,99.1,6,0.9,664
1,NSW,251,Ashfield South (Watson),440,66.17,225,33.83,665,98.66,9,1.34,674
1,NSW,251,Ashfield WATSON PPVC,3353,48.72,3529,51.28,6882,98.92,75,1.08,6957
1,NSW,135,Ashford,42,10.55,356,89.45,398,99.5,2,0.5,400
1,NSW,139,Ashley,11,8.15,124,91.85,135,100,0,0,135
1,NSW,250,Ashmont,330,31.95,703,68.05,1033,98.1,20,1.9,1053
1,NSW,249,Ashtonfield,337,40.02,505,59.98,842,98.83,10,1.17,852
1,NSW,106,Asquith (Berowra),591,59.58,401,40.42,992,98.61,14,1.39,1006
1,NSW,108,Asquith (Bradfield),630,56.5,485,43.5,1115,99.2,9,0.8,1124
1,NSW,135,Attunga,53,17.1,257,82.9,310,99.36,2,0.64,312
1,NSW,107,Auburn,1060,55.01,867,44.99,1927,95.68,87,4.32,2014
1,NSW,107,Auburn Central,204,38.13,331,61.87,535,95.03,28,4.97,563
1,NSW,107,Auburn East,273,40.32,404,59.68,677,95.49,32,4.51,709
1,NSW,107,Auburn North,724,51.94,670,48.06,1394,97.76,32,2.24,1426
1,NSW,107,Auburn West,797,40.19,1186,59.81,1983,94.93,106,5.07,2089
1,NSW,114,Austinmer,639,77.83,182,22.17,821,99.03,8,0.97,829
1,NSW,153,Austral,748,38.72,1184,61.28,1932,98.82,23,1.18,1955
1,NSW,132,Avalon,993,62.18,604,37.82,1597,98.58,23,1.42,1620
1,NSW,132,Avalon Beach,366,64.21,204,35.79,570,98.79,7,1.21,577
1,NSW,132,Avalon South,321,71.49,128,28.51,449,97.82,10,2.18,459
1,NSW,150,Avoca,66,42.31,90,57.69,156,98.73,2,1.27,158
1,NSW,146,Avoca Beach,1034,59.36,708,40.64,1742,98.59,25,1.41,1767
1,NSW,139,Baan Baa,26,24.76,79,75.24,105,99.06,1,0.94,106
1,NSW,151,Balgowlah,687,60.53,448,39.47,1135,98.87,13,1.13,1148
1,NSW,151,Balgowlah East,496,64.75,270,35.25,766,99.74,2,0.26,768
1,NSW,151,Balgowlah Heights,1177,64.71,642,35.29,1819,99.24,14,0.76,1833
1,NSW,114,Balgownie,580,57.54,428,42.46,1008,99.12,9,0.88,1017
1,NSW,114,Balgownie Central,617,48.97,643,51.03,1260,98.36,21,1.64,1281
1,NSW,139,Ballimore,13,13.4,84,86.6,97,100,0,0,97
1,NSW,145,Ballina,1274,49.59,1295,50.41,2569,97.75,59,2.25,2628
1,NSW,145,Ballina East,495,49.4,507,50.6,1002,98.82,12,1.18,1014
1,NSW,145,Ballina North,163,50.15,162,49.85,325,99.09,3,0.91,328
1,NSW,138,Ballina PAGE PPVC,1109,33.52,2199,66.48,3308,99.31,23,0.69,3331
1,NSW,145,Ballina RICHMOND PPVC,4476,37.66,7409,62.34,11885,98.92,130,1.08,12015
1,NSW,145,Ballina West,239,38.74,378,61.26,617,99.2,5,0.8,622
1,NSW,121,Balmain,368,75.26,121,24.74,489,98.59,7,1.41,496
1,NSW,121,Balmain Central,1376,77.35,403,22.65,1779,99.5,9,0.5,1788
1,NSW,121,Balmain East,636,76.26,198,23.74,834,99.64,3,0.36,837
1,NSW,151,Balmoral,314,57.4,233,42.6,547,99.64,2,0.36,549
1,NSW,118,Balranald,66,12.67,455,87.33,521,99.43,3,0.57,524
1,NSW,145,Bangalow,846,69.4,373,30.6,1219,98.54,18,1.46,1237
1,NSW,124,Bangor,829,39.07,1293,60.93,2122,99.44,12,0.56,2134
1,NSW,124,Bangor North,202,43.63,261,56.37,463,100,0,0,463
1,NSW,124,Bangor South,168,43.52,218,56.48,386,98.97,4,1.03,390
1,NSW,127,Banksmeadow,750,55.07,612,44.93,1362,98.7,18,1.3,1380
1,NSW,107,Bankstown (Blaxland),570,48.06,616,51.94,1186,95.26,59,4.74,1245
1,NSW,251,Bankstown (Watson),101,42.62,136,57.38,237,94.8,13,5.2,250
1,NSW,103,Bankstown BANKS PPVC,197,38.63,313,61.37,510,97.89,11,2.11,521
1,NSW,107,Bankstown BLAXLAND PPVC,4672,40.55,6850,59.45,11522,98.17,215,1.83,11737
1,NSW,107,Bankstown Central (Blaxland),524,43.09,692,56.91,1216,95.52,57,4.48,1273
1,NSW,251,Bankstown Central (Watson),162,35.76,291,64.24,453,94.97,24,5.03,477
1,NSW,107,Bankstown East,668,49.81,673,50.19,1341,96.2,53,3.8,1394
1,NSW,107,Bankstown North,309,40.87,447,59.13,756,96.55,27,3.45,783
1,NSW,251,Bankstown South,265,32.56,549,67.44,814,95.54,38,4.46,852
