QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,317,Beckenham BURT PPVC,1071,29.01,2621,70.99,3692,99.35,24,0.65,3716
1,WA,247,Beckenham SWAN PPVC,1045,32.16,2204,67.84,3249,99.42,19,0.58,3268
1,WA,248,Beckenham TANGNEY PPVC,340,34.45,647,65.55,987,99.2,8,0.8,995
1,WA,245,Bedford,537,53.38,469,46.62,1006,98.92,11,1.08,1017
1,WA,236,Bedfordale,145,24.7,442,75.3,587,98.99,6,1.01,593
1,WA,237,Beechboro,405,38.53,646,61.47,1051,98.59,15,1.41,1066
1,WA,237,Beechboro East (Cowan),370,33.58,732,66.42,1102,98.57,16,1.43,1118
1,WA,305,Beechboro East (Hasluck),175,38.89,275,61.11,450,98.04,9,1.96,459
1,WA,237,Beechboro West,266,41.37,377,58.63,643,98.62,9,1.38,652
1,WA,240,Beeliar,748,44.63,928,55.37,1676,98.65,23,1.35,1699
1,WA,240,Beeliar West,623,35.28,1143,64.72,1766,98.66,24,1.34,1790
1,WA,242,Beldon,613,40.01,919,59.99,1532,98.58,22,1.42,1554
1,WA,305,Bellevue,310,38.7,491,61.3,801,99.5,4,0.5,805
1,WA,247,Belmont,454,45.86,536,54.14,990,98.21,18,1.79,1008
1,WA,247,Belmont East,732,45.78,867,54.22,1599,98.58,23,1.42,1622
1,WA,245,Belmont PERTH PPVC,422,44.42,528,55.58,950,99.06,9,0.94,959
1,WA,247,Belmont South,697,44.79,859,55.21,1556,98.79,19,1.21,1575
1,WA,247,Belmont SWAN PPVC,4034,36.05,7156,63.95,11190,99.22,88,0.78,11278
1,WA,243,Bencubbin,20,18.02,91,81.98,111,99.11,1,0.89,112
1,WA,247,Bentley,386,58.48,274,41.52,660,99.7,2,0.3,662
1,WA,247,Bentley PPVC,2162,43.6,2797,56.4,4959,99.42,29,0.58,4988
1,WA,247,Bentley South,509,52.31,464,47.69,973,99.18,8,0.82,981
1,WA,235,Bertram,678,38.57,1080,61.43,1758,98.76,22,1.24,1780
1,WA,243,Beverley,149,20.61,574,79.39,723,99.59,3,0.41,726
